id,title,subtitle,date,author,word_count,reading_time_minutes
WRITING-001,Clarity In Climbing,How do we know we are climbing the right hill?,"May 13, 2026",Me,882,4
WRITING-002,Wanting And Needing Reality,When my own world crumbles and I crave a real one,"July 16, 2026",Me,718,4
WRITING-003,Serenity,Can we find it from within?,"July 13th, 2025",Me,530,3
WRITING-004,How do you recharge?,5 ideas to helpl you find the energy you need,"July 19, 2025",Me,545,3
WRITING-005,Self-help,Woo woo' or a genuine drive to be better,"April 16, 2025",Me,677,3
WRITING-006,9 to 5,Are we demonizing this?,"July 31, 2024",Me,431,2
WRITING-007,Are you ready for new gym goals?,Consistency over novelty,"November 12, 2023",Me,335,2
WRITING-008,The Time Is Now,Getting out of your own way to fix what you need,"June 26, 2025",Me,1149,6
WRITING-009,Learning the system,"Understanding the business, not the job","January 07, 2024",Me,484,2
WRITING-010,Struggle Is What You Want,Craving a challenge,"January 15, 2024",Me,438,2
WRITING-011,Create Art,The power of an artist,"April 21, 2025",Me,538,3
WRITING-012,Useful Complaining,Is this a thing?,"January 29, 2024",Me,360,2
WRITING-013,Good Not Known,"All steak, no sizzle","February 5, 2024",Me,597,3
WRITING-014,The Data Is There,Are ypu paying attention?,"February 12, 2024",Me,477,2
WRITING-015,What Does The Data Say?,Facts over feelings,"February 19, 2024",Me,402,2
WRITING-016,An Ocean Of Calm,It's not just you who gains perspective from the ocean,"February 26, 2024",Me,408,2
WRITING-017,Impatience To Problems,Are we upgrading or swapping here?,"August 25, 2024",Me,452,2
